node1,node2,energy,entanglement,error
0,26,0.0,2.638475797748109e-11,0.0
1,24,0.0,1.6891784013399417e-05,0.0
2,27,0.0,4.480287576663782e-11,0.0
3,26,0.0,1.0037558080620015e-07,0.0
4,28,0.0,7.993797612862791e-08,0.0
5,25,0.0,0.6284786977170667,0.0
6,24,0.0,1.689145821770603e-05,0.0
7,27,0.0,0.007619318322016416,0.0
8,25,0.0,0.6284915008216378,0.0
9,29,0.0,0.006193248106739568,0.0
10,28,0.0,0.006794857350814267,0.0
11,29,0.0,8.056301784096826e-08,0.0
12,30,0.0,1.899587192026074e-10,0.0
13,31,0.0,0.05154506132164553,0.0
14,30,0.0,8.398913558239486e-07,0.0
15,34,0.0,0.12237160241724204,0.0
16,32,0.0,0.04004348213709726,0.0
17,35,0.0,3.056091219456119e-10,0.0
18,34,0.0,2.631883763858902e-05,0.0
19,31,0.0,2.9931351505160465e-11,0.0
20,33,0.0,0.03952120504384758,0.0
21,32,0.0,6.226714941922573e-07,0.0
22,35,0.0,7.238913073856224e-10,0.0
23,33,0.0,6.234968850962628e-07,0.0
24,36,-330.104360495939,3.218759507886501e-05,-9.992007221626409e-15
25,36,-330.1043604959365,0.3228378397716189,1.2212453270876722e-15
26,37,-330.104278901745,1.0035803106348517e-07,-4.440892098500626e-15
27,37,-330.10427890174356,0.007619318366787643,-1.1102230246251565e-15
28,38,-330.10428411094756,0.00679486135401243,-4.440892098500626e-15
29,38,-330.10428411094546,0.006193247781386295,-1.7763568394002505e-15
30,39,-330.10436317560584,8.400378102542851e-07,-6.217248937900877e-15
31,39,-330.10436317560396,0.051545061351209356,-2.220446049250313e-16
32,40,-330.1040018085018,0.040043485199275995,-6.661338147750939e-15
33,40,-330.1040018085001,0.039521205255529955,-5.551115123125783e-15
34,41,-330.10395825852623,0.12236388677619661,-3.9968028886505635e-15
35,41,-330.1039582585258,1.0208147481180617e-09,-5.773159728050814e-15
37,42,-330.10433578972015,0.4756903125097756,-1.8851586958135158e-13
36,44,-330.10436321041686,0.32500253329891515,5.46007683510652e-13
38,42,-330.10433578975716,0.5999071627787661,4.496403249731884e-13
39,44,-330.1043632099678,0.05161440029533988,-8.215650382226158e-14
41,43,-330.1042443513039,0.20424004060898848,-1.1590728377086634e-13
40,43,-330.1042443512653,0.2114549056150125,1.887379141862766e-14
42,45,-330.10439704445605,0.8607305607568457,1.038391594931909e-12
43,45,-330.1044066014422,0.8783623352002932,1.900035684343493e-12
44,45,-330.104320536913,0.2314183478202431,2.9554136915521667e-13
